type,city,district,session,name,photo,party,gender,age,education,hair,opinion,lat,lon
分區立委,新北市,第12選區,,李慶華,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC12%E9%81%B8%E8%88%89%E5%8D%80-2-%E6%9D%8E%E6%85%B6%E8%8F%AF.jpg,民主進步黨,M,68,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146313032383439393439,25.006072,121.990783
分區立委,台中市,第1選區,大甲區 大安區 外埔區 清水區 梧棲區,蔡其昌,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-4-%E8%94%A1%E5%85%B6%E6%98%8C.jpg,民主進步黨,M,47,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c313230353432393734,24.308607,120.552248
分區立委,台中市,第1選區,,顏秋月,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-5-%E9%A1%8F%E7%A7%8B%E6%9C%88.jpg,中國國民黨,F,51,大學,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c323230353435343133,24.308607,120.552248
分區立委,台中市,第2選區,沙鹿鎮 龍井鄉 大肚鄉 烏日鄉 霧峰 大里市2里,顏寬恒,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-2-%E9%A1%8F%E5%AF%AC%E6%81%92.jpg,中國國民黨,M,39,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c313232363937363936,24.080333,120.645444
分區立委,台中市,第2選區,,陳世凱,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-1-%E9%99%B3%E4%B8%96%E5%87%B1.jpg,民主進步黨,M,39,大學,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314a313231363136313332,24.080333,120.645444
分區立委,台中市,第3選區,后里區 神岡區 大雅區 潭子區,楊瓊瓔,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC3%E9%81%B8%E8%88%89%E5%8D%80-1-%E6%A5%8A%E7%93%8A%E7%93%94.jpg,中國國民黨,F,52,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c323230383432383139,24.233652,120.674533
分區立委,台中市,第3選區,,洪慈庸,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC3%E9%81%B8%E8%88%89%E5%8D%80-3-%E6%B4%AA%E6%85%88%E5%BA%B8.jpg,時代力量,F,34,大學,長,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c323232383838303337,24.233652,120.674533
分區立委,台中市,第4選區,西屯區 南屯區,張廖萬堅,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC4%E9%81%B8%E8%88%89%E5%8D%80-2-%E5%BC%B5%E5%BB%96%E8%90%AC%E5%A0%85.jpg,民主進步黨,M,51,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303142313230333338363431,24.158088,120.619893
分區立委,台中市,第4選區,,蔡錦隆,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC4%E9%81%B8%E8%88%89%E5%8D%80-3-%E8%94%A1%E9%8C%A6%E9%9A%86.jpg,中國國民黨,M,58,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303142313230383736353834,24.158088,120.619893
分區立委,台中市,第5選區,北屯區 北區,盧秀燕,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC5%E9%81%B8%E8%88%89%E5%8D%80-3-%E7%9B%A7%E7%A7%80%E7%87%95.jpg,中國國民黨,F,55,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303143323230353336353630,24.160408,120.702967
