type,city,district,session,name,photo,party,gender,age,education,hair,opinion,lat,lon
分區立委,高雄市,第4選區,,林岱樺,http://g0v-data.github.io/cec-crawler/images/000-%E9%AB%98%E9%9B%84%E5%B8%82-%E7%AC%AC4%E9%81%B8%E8%88%89%E5%8D%80-3-%E6%9E%97%E5%B2%B1%E6%A8%BA.jpg,民主進步黨,F,44,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303153323230383331393239,22.38506,120.42319
分區立委,高雄市,第5選區,,管碧玲,http://g0v-data.github.io/cec-crawler/images/000-%E9%AB%98%E9%9B%84%E5%B8%82-%E7%AC%AC5%E9%81%B8%E8%88%89%E5%8D%80-2-%E7%AE%A1%E7%A2%A7%E7%8E%B2.jpg,民主進步黨,F,60,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c323230303033373431,22.50879,120.21171
分區立委,高雄市,第6選區,,李昆澤,http://g0v-data.github.io/cec-crawler/images/000-%E9%AB%98%E9%9B%84%E5%B8%82-%E7%AC%AC6%E9%81%B8%E8%88%89%E5%8D%80-2-%E6%9D%8E%E6%98%86%E6%BE%A4.jpg,民主進步黨,M,52,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303147313230353539383233,22.70396,120.50972
分區立委,高雄市,第7選區,,趙天麟,http://g0v-data.github.io/cec-crawler/images/000-%E9%AB%98%E9%9B%84%E5%B8%82-%E7%AC%AC7%E9%81%B8%E8%88%89%E5%8D%80-1-%E8%B6%99%E5%A4%A9%E9%BA%9F.jpg,民主進步黨,M,43,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303155313231313635343630,22.76281,120.35797
分區立委,高雄市,第8選區,,許智傑,http://g0v-data.github.io/cec-crawler/images/000-%E9%AB%98%E9%9B%84%E5%B8%82-%E7%AC%AC8%E9%81%B8%E8%88%89%E5%8D%80-7-%E8%A8%B1%E6%99%BA%E5%82%91.jpg,民主進步黨,M,50,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303151313231313731353731,22.58294,120.37376
分區立委,高雄市,第9選區,,賴瑞隆,http://g0v-data.github.io/cec-crawler/images/000-%E9%AB%98%E9%9B%84%E5%B8%82-%E7%AC%AC9%E9%81%B8%E8%88%89%E5%8D%80-2-%E8%B3%B4%E7%91%9E%E9%9A%86.jpg,民主進步黨,M,43,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314e313231373837373733,22.54301,120.5825
分區立委,基隆市,全市,,蔡適應,http://g0v-data.github.io/cec-crawler/images/017-%E5%9F%BA%E9%9A%86%E5%B8%82-%E9%81%B8%E8%88%89%E5%8D%80-4-%E8%94%A1%E9%81%A9%E6%87%89.jpg,民主進步黨,M,43,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146313233393936323635,25.16018,122.10206
分區立委,宜蘭縣,全縣,,陳歐珀,http://g0v-data.github.io/cec-crawler/images/002-%E5%AE%9C%E8%98%AD%E7%B8%A3-%E9%81%B8%E8%88%89%E5%8D%80-1-%E9%99%B3%E6%AD%90%E7%8F%80.jpg,民主進步黨,M,54,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303147313230343936343833,24.44777,121.98669
分區立委,桃園市,第1選區,蘆竹鄉 龜山鄉 桃園市10里,鄭運鵬,http://g0v-data.github.io/cec-crawler/images/000-%E6%A1%83%E5%9C%92%E5%B8%82-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-1-%E9%84%AD%E9%81%8B%E9%B5%AC.jpg,民主進步黨,M,43,大學,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303141313232313633333437,25.21165,121.1531
分區立委,桃園市,第2選區,大園鄉 觀音鄉 新屋鄉 楊梅市,陳賴素美,http://g0v-data.github.io/cec-crawler/images/000-%E6%A1%83%E5%9C%92%E5%B8%82-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-5-%E9%99%B3%E8%B3%B4%E7%B4%A0%E7%BE%8E.jpg,民主進步黨,F,52,大學,長,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314a323230383137393638,24.97111,121.00959
